ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.0578107834,1.4962371588,13.1132059097,0.0027415948,-0.1898192035,2.2475585567,14.7490330663,134.010125159,0,25.2099313736,2019-07-25 11:50:46:705
-3.268112421,1.0963140726,11.2213544846,0.0544195372,-0.3043630936,2.2257154426,17.7839505537,134.8085504464,0,25.213129282,2019-07-25 11:50:46:708
4.6752719879,3.3282208443,8.6877088547,0.1180846293,-0.2404316313,2.27792605,14.4337782207,135.2736147593,0,25.216075182,2019-07-25 11:50:46:711
-8.8095636368,1.192103982,8.6613664627,0.2262353682,-0.2116624674,2.1330147998,16.8812750235,135.9623574831,0,25.2199366093,2019-07-25 11:50:46:715
1.5740714073,1.6087903976,7.4065179825,-0.0859633279,-0.2004744611,2.322145443,13.2196690719,136.6134701273,0,25.2231395245,2019-07-25 11:50:46:718
7.7261834145,5.9241294861,6.3169064522,0.3455741133,0.2654261638,2.1836272442,13.1751802382,136.555547468,0,25.2260649204,2019-07-25 11:50:46:721
-12.7321634293,-3.8033437729,14.6362667084,-0.0763736011,0.0600463056,2.1934833371,13.1618256624,136.5725333097,0,25.2299466133,2019-07-25 11:50:46:725
5.5565400124,0.9861555099,9.6001081467,-0.469552185,-0.1589189948,2.3964657469,9.928303968,137.4079006831,0,25.2331371307,2019-07-25 11:50:46:728
1.3298069239,7.1789784431,7.2532539368,0.4726379231,0.2113507944,2.093323979,6.3027230673,137.2878207996,0,25.2360694408,2019-07-25 11:50:46:731
-4.1517753601,-1.3630939722,14.8278474808,-0.2841508994,-0.2377678211,2.4124487082,6.3553049133,137.3506601643,0,25.2399291992,2019-07-25 11:50:46:735
4.1508221626,2.6696646214,8.6661558151,-0.0771727492,-0.0824676044,2.3184159522,3.1548876066,137.8750882343,0,25.2431316376,2019-07-25 11:50:46:738
0.9610154629,2.2481887341,10.3376913071,0.0328426643,0.0256831386,2.2227851664,-0.4062171925,138.4667919831,0,25.2460639477,2019-07-25 11:50:46:741
-6.7548680305,-0.965565443,12.8162574768,-0.1272524032,-0.1051099998,2.2717994479,-0.3829105993,138.495008328,0,25.2499339581,2019-07-25 11:50:46:745
-0.8134940863,4.3435945511,8.939157486,0.0818567918,-0.0526329182,2.273663927,3.1302012742,138.7921036288,0,25.2531313896,2019-07-25 11:50:46:748
4.0047421455,2.312846899,9.4636077881,0.1007698545,0.0240848508,2.2571483335,-0.0776265763,139.3250263158,0,25.2560589314,2019-07-25 11:50:46:751
-4.3912501335,-0.3716675341,10.5987195969,0.0727998387,-0.0379819535,2.2544846397,3.082081486,132.9628642023,0,25.2599313259,2019-07-25 11:50:46:755
-2.9424264431,-0.7979329824,10.531665802,-0.1530913825,-0.1964787375,2.2648733648,6.343514419,126.8177430157,0,25.2631282806,2019-07-25 11:50:46:758
2.9510524273,5.4116530418,8.0674686432,0.2057240343,-0.0278594717,2.2574146496,3.0230945051,127.1703210612,0,25.2660710812,2019-07-25 11:50:46:761
0.7790144682,4.2286467552,8.8313941956,0.202261076,-0.0156059388,2.3498489763,-0.5331646646,127.6713510186,0,25.2699315548,2019-07-25 11:50:46:765
-5.4617033005,-0.6303005219,9.9665050507,0.0395021941,-0.1096384805,2.3160185746,2.523553356,121.5829061173,0,25.2732639313,2019-07-25 11:50:46:768
3.1354482174,0.6963908076,7.7274141312,-0.0409449117,0.0533867758,2.276327887,-0.6943188011,122.6552395637,0,25.2763011456,2019-07-25 11:50:46:771
2.2924962044,4.3843054771,8.2087593079,0.1274079735,0.206822322,2.2917779497,-4.0103719366,123.2141192317,0,25.2799189091,2019-07-25 11:50:46:775
-8.8814058304,0.5742585659,11.096827507,0.1060974749,0.2390544275,2.2672707424,-4.0545126993,123.1945286158,0,25.283141613,2019-07-25 11:50:46:778
7.6256036758,0.2605463862,11.0944318771,-0.1712052888,0.2371897653,2.3714259074,-6.9223372753,124.331851806,0,25.2860667706,2019-07-25 11:50:46:781
-0.2483331412,3.9077501297,10.5819559097,0.3282593385,0.2206741385,2.1521942202,-3.2587330541,124.9685115128,0,25.2899370193,2019-07-25 11:50:46:785
-10.2200708389,-2.1198348999,15.6755886078,-0.0790374197,-0.2089986572,2.2323749432,-3.2204674794,124.982982478,0,25.2931325436,2019-07-25 11:50:46:788
12.3672084808,5.610417366,9.3151330948,0.2123835516,-0.1432024995,2.3296041583,-3.196451208,124.9473639586,0,25.2960596085,2019-07-25 11:50:46:791
-4.0296430588,6.0294985771,8.2853908539,0.4590525059,-0.2303091391,2.1058438988,-0.0011384825,125.2276539055,0,25.2999343872,2019-07-25 11:50:46:795
-8.6227731705,-3.0944979191,12.8138628006,-0.3001337608,-0.5582243306,2.3842122764,0.101196473,125.28267511,0,25.3031339645,2019-07-25 11:50:46:798
6.9311265945,7.9716405869,3.7401559353,0.5773257203,0.3045842026,2.2350387701,-2.3181446397,124.9844291767,0,25.3060736656,2019-07-25 11:50:46:801
-8.1007175446,-2.0551764965,10.0551109314,0.1612383751,0.1551443801,2.2526198943,-2.3524862781,124.9487386156,0,25.3099370003,2019-07-25 11:50:46:805
-7.2266335487,-5.3311944008,12.9934692383,-0.4173414777,-0.0425104343,2.4310953632,-2.3446902649,125.025275111,0,25.3131377697,2019-07-25 11:50:46:808
6.0642271042,6.7383441925,7.9549155235,0.3770071041,0.3157722089,2.1838935603,-2.3976651916,124.9620272281,0,25.3160657883,2019-07-25 11:50:46:811
-4.4199872017,-1.8133068085,12.7060985565,-0.0609234967,-0.058493304,2.2555501705,0.879604347,119.0386971776,0,25.3200039864,2019-07-25 11:50:46:815
-0.6841775775,0.1551773846,14.085474968,-0.2812206898,-0.2047365508,2.4316279954,4.4424810468,120.2948660698,0,25.3231430054,2019-07-25 11:50:46:818
1.7536776066,4.3124628067,7.725019455,0.3538319434,0.0539195412,2.2078678691,1.0005462364,120.8472036946,0,25.3260784149,2019-07-25 11:50:46:821
-3.9745635986,-3.0633661747,12.3349123001,-0.196777877,-0.2265797981,2.3399928834,4.2723920043,115.1518079659,0,25.3299343586,2019-07-25 11:50:46:825
1.3777018785,-0.2231930643,10.7543783188,-0.0854305626,-0.0526329182,2.3855441233,0.742406383,109.2879030467,0,25.3331348896,2019-07-25 11:50:46:828
-3.8667998314,1.9464501143,9.4444494247,0.0216546559,-0.0273267105,2.239034577,3.8867675626,110.4656584904,0,25.3360795975,2019-07-25 11:50:46:831
1.8470728397,1.6495012045,9.5761613846,-0.1381740269,-0.1397395578,2.3916709917,0.4575954441,111.6907577608,0,25.3399307728,2019-07-25 11:50:46:835
-1.5031819344,5.5888643265,6.7766985893,0.3149403039,0.0366047664,2.2475585567,3.7917192753,112.2099708209,0,25.3431377411,2019-07-25 11:50:46:838
-3.6081669331,0.203072384,9.580950737,-0.1213920174,-0.1511939468,2.3692948459,6.9280229555,113.5614495405,0,25.3460664749,2019-07-25 11:50:46:841
2.2374169827,3.7065911293,7.059278965,0.1969334556,0.1069293882,2.2811226422,3.5179881246,114.2934593062,0,25.3499290943,2019-07-25 11:50:46:845
0.4748812616,2.8995604515,8.3189172745,0.1868109634,0.2060231739,2.3024332573,-0.1240528274,115.1896982038,0,25.3531296253,2019-07-25 11:50:46:848
-3.7207202911,-0.8170909882,11.211774826,-0.0888935209,0.0483255339,2.3573076915,3.1027348381,109.3849344117,0,25.3562681675,2019-07-25 11:50:46:851
1.2795171738,2.7678492069,10.6490087509,0.152714179,0.2070887047,2.3192151669,-0.457735096,110.4797036253,0,25.359316349,2019-07-25 11:50:46:854
4.2705593109,0.4018366039,10.3568496704,0.0485591514,0.2220060353,2.3783517241,-3.647248897,111.8154268839,0,25.3630735874,2019-07-25 11:50:46:858
-5.8257050514,-1.7294906378,12.8665466309,0.0109994098,-0.0536984447,2.2459603937,-3.6377282674,111.81347671,0,25.3661680222,2019-07-25 11:50:46:861
4.8836154938,-1.4588838816,11.8272256851,-0.2053020731,-0.1703733838,2.3804827856,-6.680147846,106.1613441806,0,25.369941473,2019-07-25 11:50:46:865
3.1210796833,3.5150113106,9.9114255905,0.1018353769,-0.1250885932,2.2803234276,-9.7746514278,107.2294196106,0,25.3731181622,2019-07-25 11:50:46:868
-6.3118395805,-0.759616971,10.833404541,-0.1309817359,-0.5262586077,2.338128138,-6.4971272263,101.5865924598,0,25.3760473728,2019-07-25 11:50:46:871
9.3857450485,5.3422050476,4.8369512558,0.0557514423,-0.2734628849,2.4657247132,-8.652821096,102.1858673597,0,25.3799321651,2019-07-25 11:50:46:875
1.0328578949,6.7503180504,3.8574986458,0.5903784055,0.0350064785,2.2249162279,-11.7862590507,102.4310761189,0,25.3831295967,2019-07-25 11:50:46:878
-9.4417772293,-4.940849781,10.2299280167,-0.29906823,-0.2311082872,2.4023260329,-11.7473897387,102.4813753812,0,25.3860650063,2019-07-25 11:50:46:881
-0.6482563615,2.7319281101,6.8485412598,0.087450795,0.2233379488,2.3445213225,-8.0690413754,103.5778275761,0,25.3899288177,2019-07-25 11:50:46:885
5.4583554268,5.648733139,6.2163271904,0.2869702881,0.4809285101,2.3272065144,-10.7682398827,104.2095601943,0,25.3931241035,2019-07-25 11:50:46:888
-6.8578424454,-1.9665708542,13.5298929214,-0.0316215738,0.1439563738,2.365299039,-10.7923845517,104.2148638319,0,25.3960514069,2019-07-25 11:50:46:891
0.6065924764,-1.7486486435,13.2712593079,-0.1770656746,0.0025079784,2.3719585396,-14.1247430928,98.719268376,0,25.3999316692,2019-07-25 11:50:46:895
4.9075627327,2.4134263992,10.6202716827,0.0855861328,0.0075692203,2.2747294577,-16.9475829043,100.0734243101,0,25.4031364918,2019-07-25 11:50:46:898
-1.6612354517,2.3487679958,10.8621416092,0.0637428772,-0.2044701682,2.3778190919,-13.1487680875,101.4173989954,0,25.4060778618,2019-07-25 11:50:46:901
0.2497747838,1.6016062498,9.7318201065,0.0490919126,-0.2172564706,2.3684956313,-16.4092685703,102.7914910481,0,25.4099404812,2019-07-25 11:50:46:905
-3.4429292679,1.3884735107,8.3811807632,0.2049248863,-0.1455999436,2.2286455856,-12.9015852406,104.1107288412,0,25.4131388664,2019-07-25 11:50:46:908
6.1145167351,2.619374752,7.0473051071,-0.0276258563,0.0832214621,2.4984895841,-15.4388168394,105.2254372083,0,25.4161748886,2019-07-25 11:50:46:911
-0.5812033415,4.056224823,6.9323573112,0.3628888882,0.2334604243,2.2475585567,-11.6750917751,106.0377974137,0,25.4199283123,2019-07-25 11:50:46:915
