,Left,Middle,Right
75,Y Gyro 31.3 Hz,Y Accel 20.2 Hz,Z Accel 30.3 Hz
76,Y Accel 39.4 Hz,Z Accel 48.5 Hz,X Gyro 31.3 Hz
77,Z Accel 29.3 Hz,X Accel 78.8 Hz,Y Gyro 30.3 Hz
78,Y Accel 30.3 Hz,X Accel 53.5 Hz,Y Gyro 31.3 Hz
79,X Accel 30.3 Hz,X Accel 21.2 Hz,X Gyro 29.3 Hz
80,Z Gyro 29.3 Hz,Z Accel 51.5 Hz,Z Gyro 29.3 Hz
81,Y Gyro 29.3 Hz,X Accel 55.6 Hz,Z Accel 29.3 Hz
82,X Gyro 29.3 Hz,X Accel 44.4 Hz,Y Accel 29.3 Hz
83,X Gyro 37.4 Hz,Y Accel 19.2 Hz,Y Gyro 29.3 Hz
84,Y Accel 26.3 Hz,X Accel 49.5 Hz,Y Accel 30.3 Hz
85,Z Gyro 37.4 Hz,X Accel 80.8 Hz,X Accel 30.3 Hz
86,X Gyro 45.5 Hz,X Accel 26.3 Hz,Z Gyro 30.3 Hz
87,Y Accel 45.5 Hz,Z Accel 41.4 Hz,X Accel 26.3 Hz
88,Z Accel 46.5 Hz,Z Accel 34.3 Hz,Y Gyro 45.5 Hz
89,Y Accel 46.5 Hz,X Accel 48.5 Hz,Y Accel 45.5 Hz
90,X Accel 46.5 Hz,Z Accel 46.5 Hz,X Gyro 46.5 Hz
91,Z Gyro 45.5 Hz,X Accel 16.2 Hz,Z Accel 46.5 Hz
92,Y Gyro 45.5 Hz,Z Accel 42.4 Hz,Y Accel 46.5 Hz
93,Y Gyro 46.5 Hz,Y Accel 42.4 Hz,X Accel 46.5 Hz
94,Z Accel 45.5 Hz,X Accel 79.8 Hz,Z Gyro 45.5 Hz
95,X Accel 47.5 Hz,X Accel 77.8 Hz,Z Gyro 46.5 Hz
96,X Accel 45.5 Hz,Z Gyro 0.0 Hz,X Gyro 45.5 Hz
97,Z Gyro 44.4 Hz,Z Accel 54.5 Hz,X Accel 47.5 Hz
98,Y Gyro 44.4 Hz,X Accel 63.6 Hz,X Accel 45.5 Hz
99,X Gyro 44.4 Hz,X Accel 25.3 Hz,Z Gyro 44.4 Hz
100,Z Accel 44.4 Hz,X Accel 23.2 Hz,Y Gyro 44.4 Hz
101,X Gyro 46.5 Hz,Z Accel 35.4 Hz,X Gyro 44.4 Hz
102,X Accel 44.4 Hz,Z Accel 39.4 Hz,Y Accel 44.4 Hz
103,Z Gyro 46.5 Hz,X Accel 58.6 Hz,Y Gyro 46.5 Hz
104,X Gyro 48.5 Hz,Z Accel 52.5 Hz,Z Gyro 43.4 Hz
105,Y Accel 48.5 Hz,X Accel 59.6 Hz,X Gyro 48.5 Hz
106,Z Accel 49.5 Hz,Z Accel 56.6 Hz,Y Accel 48.5 Hz
107,Y Accel 49.5 Hz,X Accel 47.5 Hz,Z Accel 49.5 Hz
108,X Accel 49.5 Hz,Y Accel 43.4 Hz,Y Accel 49.5 Hz
